<SOS>,1333
place,758
carrots,128
onion,493
garlic,691
salt,1020
and,7350
pepper,833
onto,156
a,2494
hot,240
pan,1543
of,1268
oil,1048
<SEP>,9004
pour,445
the,9451
egg,336
into,1071
mix,1060
add,4151
frozen,8
peas,51
pork,129
soy,225
sauce,871
to,2865
stir,605
rice,321
bowl,794
<EOS>,1333
boil,215
noodles,212
in,2116
pot,604
boiling,116
water,847
ground,124
put,429
salted,21
wonton,13
wrapper,49
wrap,71
it,830
wontons,16
another,49
soup,171
rinse,39
cool,13
green,278
onions,448
together,213
serve,177
heat,400
some,998
sugar,248
with,1178
wine,104
let,66
then,113
more,44
stock,135
thyme,48
vinegar,142
slice,291
goose,5
liver,19
season,159
remove,228
grapes,12
flour,455
cook,584
butter,407
toss,93
endives,1
dressing,54
endive,5
salad,111
on,1346
plate,174
beef,232
crumbs,75
an,184
cumin,110
dijon,17
mustard,89
form,55
meat,299
patties,32
drizzle,44
patty,46
burger,21
griddle,10
bun,23
lettuce,104
tomatos,32
pickles,6
top,431
udon,24
drain,136
chicken,557
broth,77
chopped,389
mushrooms,94
dissolve,14
miso,30
yeast,37
milk,194
knead,47
dough,286
dry,61
dogs,36
cut,531
up,171
cheddar,18
cheese,376
strips,55
dog,28
inside,21
baking,137
soda,31
mixture,451
pieces,306
roll,257
rope,2
around,21
sprinkle,129
coarse,2
bake,92
oven,217
until,182
golden,44
brown,124
brush,36
melted,41
pretzel,1
3,57
pounds,1
shredded,42
organic,4
red,186
potatoes,356
dried,33
parsley,170
turmeric,44
low,24
setting,2
stove,35
powder,405
spread,267
separate,21
small,160
portion,5
out,149
bread,342
flip,130
over,209
from,165
down,52
fresh,62
spinach,35
sesame,188
seeds,171
chlli,1
paste,200
blend,126
cilantro,84
leaves,192
puree,55
blender,71
fry,377
carrot,96
sprouts,53
tofu,89
cubes,50
vegetables,191
1,174
inch,20
tsp,98
2,124
lemon,175
zest,17
paprika,81
coriander,137
1/3,5
cup,106
olive,237
tomato,226
5,34
finely,86
cloves,62
whisk,151
combine,103
transfer,92
marinate,37
ziplock,1
bag,30
keep,53
leftover,4
massage,11
hands,18
off,102
lbs,6
summer,1
squash,9
8,4
ounces,4
cremini,1
all,111
them,312
well,194
they,21
are,34
coated,17
grill,107
medium,46
high,29
thread,3
marinated,24
10,25
12,6
inches,3
skewers,25
separately,2
close,18
turning,3
every,2
minutes,159
take,176
when,62
lightly,14
charred,4
allover,1
cover,220
loosely,2
foils,1
warm,35
continue,13
vegetable,58
tuna,55
scallions,29
sriracha,11
ball,35
sheet,83
seaweed,47
line,16
squeeze,57
directly,3
shape,57
circular,5
pizza,54
mozzarella,38
basil,78
soak,46
ribs,27
peel,95
apple,39
kiwi,3
crush,37
ingredients,176
food,100
processor,102
honey,38
marinade,38
short,5
both,37
sides,44
wash,49
urad,6
daal,6
kidney,16
beans,107
mixed,34
spice,31
little,132
for,244
hour,8
ginger,218
give,20
saute,74
also,11
chili,201
littl,1
bit,49
made,3
leave,5
simmer,54
cream,121
while,31
cooking,61
is,67
ready,22
shrimp,111
curry,61
chilies,33
precooked,3
packet,7
prepare,27
pair,2
buns,27
bottom,41
one,103
slices,207
crispy,16
bacon,172
scrambled,11
other,64
eggs,229
sour,22
by,44
hand,46
circles,8
filling,56
rub,10
fold,56
use,18
fork,13
crease,1
edges,41
drop,14
pierogis,10
garnish,82
melt,50
cinnamon,32
stick,26
bay,55
